time,range,elevation,velocity,azimuth
824,1159.89326776846,32.8043310670201,-2.18061395876622,256.171858466089
824.1,1159.67536080561,32.7266040780547,-2.17668532362003,256.188007778888
824.2,1159.45797660711,32.8188338269163,-2.17275421608895,256.152337110013
824.3,1159.24098440444,32.8985164304862,-2.16882483245263,256.257577289849
824.4,1159.02425798073,32.8271956863563,-2.164888350402,256.319497394931
824.5,1158.80763446204,32.8392005848379,-2.16095323434946,256.305653005732
824.6,1158.5919596467,32.8201007800242,-2.15701095766173,256.507599615274
824.7,1158.37628681818,32.8608503765122,-2.15306690800116,256.473475675832
824.8,1158.1609770123,32.9707618095835,-2.14912550744989,256.302410053947
824.9,1157.94640711618,32.8713796447729,-2.14518524911841,256.459121083269
825,1157.73203751487,32.837992231512,-2.14123479583745,256.592341268881
825.1,1157.51825434802,32.9743677564649,-2.13728656690946,256.593216414338
825.2,1157.30515282266,32.939759199947,-2.13333225941717,256.59166289049
825.3,1157.09138118831,32.9660576612671,-2.12937900422149,256.679185629521
825.4,1156.87901613037,33.0427067620776,-2.12542227611572,256.659406287337
825.5,1156.66645745866,32.9063833879048,-2.12146444072766,256.784040210985
825.6,1156.4545709907,33.1057387607908,-2.11749982944565,256.873742828711
825.7,1156.24286199968,32.8633242644993,-2.11354201762323,256.813719898487
825.8,1156.03193796024,32.9683568669138,-2.10957565841692,256.874903506748
825.9,1155.8211910669,32.9122217086309,-2.10560496829982,256.921300661737
826,1155.61094527698,32.9260376432062,-2.1016364712592,256.908912978453
826.1,1155.40089632855,32.9479720749289,-2.09766301325441,256.918922699849
826.2,1155.1911912976,32.9911357393524,-2.09368994572107,257.059850029084
826.3,1154.98195870362,32.9971775788139,-2.08971178363958,257.193652998312
826.4,1154.77353161355,33.0086460493424,-2.08573199704337,257.077699461314
826.5,1154.56504015054,32.9928325484921,-2.0817518392761,257.162235649786
826.6,1154.35676498508,33.1362624641239,-2.07777059855636,257.224345349402
826.7,1154.14932099774,33.0508496207525,-2.073783023316,257.165667283201
826.8,1153.94214207328,33.0171172354372,-2.06979429220988,257.160731278029
826.9,1153.73554285803,33.0628465079804,-2.06580785452063,257.242993813986
827,1153.52921612473,33.0985336634191,-2.0618172897485,257.377089432918
827.1,1153.3233299827,32.9825463270268,-2.05782442562626,257.280966379043
827.2,1153.11739095288,33.1579005353465,-2.05382624505176,257.382701373782
827.3,1152.91233216306,33.0566368449846,-2.04982789412714,257.543912070485
827.4,1152.70733134084,33.0920475704183,-2.04583214391243,257.461881530895
827.5,1152.50329687836,33.0402995159848,-2.04182857061909,257.608393712507
827.6,1152.29896685076,33.1606910703074,-2.03782278673633,257.658608931924
827.7,1152.09522474671,33.2015195088341,-2.03381829225037,257.660162614325
827.8,1151.89247657746,33.1065116919449,-2.02980781068842,257.609136821252
827.9,1151.68991857537,33.1993221260632,-2.02579556537924,257.669585900681
828,1151.48721297797,33.1789603449366,-2.02178168665591,257.713928911542
828.1,1151.28548323735,33.1799584609689,-2.01776646737344,257.856937039857
828.2,1151.08348904809,33.150791813967,-2.01374944249147,257.824757621283
828.3,1150.88260684638,33.2121031730879,-2.00973325822582,257.884920321299
828.4,1150.68141289043,33.1682982150661,-2.00570638473526,257.816589843845
828.5,1150.4815206058,33.2921659398154,-2.00168272728033,257.979452306639
828.6,1150.28163817072,33.2691729576582,-1.9976585597403,258.096539839812
828.7,1150.08177810888,33.1650252844941,-1.99363146663337,258.154945862001
828.8,1149.8827208268,33.2708259990299,-1.98959893443442,258.05886797528
828.9,1149.68415092046,33.1507285288393,-1.98556864464092,258.154319742921
829,1149.48547837682,33.2693502860623,-1.98153777684418,258.194174602448
829.1,1149.28754803663,33.2363265841679,-1.97749663842783,258.286188152374
829.2,1149.09028155871,33.2011070027141,-1.97345865990863,258.285732648848
829.3,1148.89314761497,33.2803029006661,-1.96941877400287,258.241269345407
829.4,1148.69631220353,33.2489017472392,-1.96537763663405,258.439723778446
829.5,1148.50010865833,33.2660319118441,-1.9613304196539,258.486901781624
829.6,1148.30389627645,33.2761125899553,-1.95728813796616,258.428774603883
829.7,1148.10832866178,33.3099544673593,-1.95323271835917,258.505988632121
829.8,1147.91323583223,33.2660857110839,-1.94918216235906,258.494839261168
829.9,1147.71844354681,33.3964706329975,-1.94513121332502,258.604234364138
830,1147.52374219956,33.301236927454,-1.94107477939616,258.550891477033
830.1,1147.33024522921,33.3735693572358,-1.93701896098182,258.75410701913
830.2,1147.1368323779,33.2871825044195,-1.93295764557502,258.673360750526
830.3,1146.94360211642,33.3112548394468,-1.92889682937674,258.856613580867
830.4,1146.75093627259,33.3958704235138,-1.92483144883231,258.796010503435
830.5,1146.55879348969,33.3409566273857,-1.92076570122941,258.747875972634
830.6,1146.36672749502,33.4551334604216,-1.91670046162416,258.71470278094
830.7,1146.17540317508,33.4509097984325,-1.91262978478998,258.970298597481
830.8,1145.98439394025,33.3890709943956,-1.90855776648053,258.984405337978
830.9,1145.79365742722,33.4361432158467,-1.90448557424372,258.981298614659
831,1145.60349800727,33.5015510873631,-1.90040597717088,259.076397122448
831.1,1145.41369183116,33.4248270981342,-1.89632953985076,259.032570040177
831.2,1145.22409802751,33.5407270581712,-1.8922483518479,259.086501819382
831.3,1145.03510556399,33.4258850727108,-1.88816798595521,259.206373597013
831.4,1144.84626195619,33.4729183222205,-1.88408041474388,259.280033576826
831.5,1144.6586972108,33.3841930821753,-1.87999592923117,259.189541475898
831.6,1144.47064230089,33.4859108130926,-1.87590498869387,259.234406161659
831.7,1144.28338758006,33.4627544857622,-1.87181685972166,259.361583540439
831.8,1144.09633989407,33.4678915558732,-1.86772581052354,259.373991514102
831.9,1143.90965057485,33.4903822036697,-1.86363089161281,259.416909169849
832,1143.72380257737,33.5046316220583,-1.85953545516785,259.463602226686
832.1,1143.53739548532,33.5393029820706,-1.8554356969219,259.561995305822
832.2,1143.35231601219,33.5372491811464,-1.85133760395054,259.586784098149
832.3,1143.16747048331,33.458469286977,-1.8472337400127,259.554934688262
832.4,1142.98280738088,33.5002376055715,-1.84312935189481,259.542770222129
832.5,1142.79870487658,33.5987704465664,-1.83902019326074,259.677579392785
832.6,1142.61509878121,33.6314396010146,-1.83491480193846,259.738724234425
832.7,1142.43185667777,33.6506775838945,-1.83080686937909,259.715011995885
832.8,1142.24890658483,33.4368164618801,-1.82669141428987,259.793932033759
832.9,1142.06636938847,33.5984784068692,-1.82258171688822,259.858612816364
833,1141.88437032948,33.5765407110834,-1.81846283119407,259.85556113754
833.1,1141.70311675395,33.5754449857383,-1.81434223952934,259.946167196032
833.2,1141.52163149358,33.5205488049483,-1.81022559993966,260.049369031224
833.3,1141.34076639392,33.672459524064,-1.80610169362414,260.02867827911
833.4,1141.16053977429,33.6122385117128,-1.8019771779716,260.028486305285
833.5,1140.98052207786,33.6123918066427,-1.79784993421358,260.036364000937
833.6,1140.80099589082,33.5972121490216,-1.79371909411414,260.097249721024
833.7,1140.62184833362,33.6949482347659,-1.78959084523385,260.224903553045
833.8,1140.44290484133,33.6856798589603,-1.78545940911603,260.208363602968
833.9,1140.26487471427,33.602999365449,-1.78132496082419,260.320518314568
834,1140.08649220071,33.7121698703492,-1.77718346042798,260.29784009122
834.1,1139.90929774019,33.5866625105825,-1.77305060393075,260.323299791438
834.2,1139.73220764974,33.7570849645999,-1.7689112855213,260.476136134364
834.3,1139.55538539275,33.7203981337238,-1.76476729697226,260.42691367953
